name,countryId
Diet Foundation for providing meals,2
dipzonia chocolate cafe,2
Distinguished vision company to serve meals,2
DOLOMITE (Branch of the Saudi Dolomite General Contracting Company),2
DOLOMITE 2021,2
Dolomite Company Ltd( GEERCO),2
DOLPHNE STEEL FACTORY,2
Domat Al Ward Trading Est,2
DONG-YEONG ENGINEERING,2
DOOR TO DOOR,2
DORAT AL JARID,2
DREAM RESTAURANT JR'S STEAM BURGER,2
DREAM RESTURANT,2
Durat Al-Naseem Company Limited,2
E &E LIMITED COMPANY,2
EARSA,2
EASTERN AWTAD ENVIRONMENTAL SOLUTION - (ESTEDAMA),2
Eastern Itqan Equipment Rental Establishment,2
EASTERN RECRUITMENT COMPANY,2
EASTERN TRADING AND CONTRACTING GROUP,2
EBDA Al Jubail Gen. Cont. Co,2
Ebdaa Al Jubail General Contracting Company,2
EILAS,2
EL MANDEB CONTRACTING EST.,2
Electrical Solutions General Contracting Company is a one person company,2
ELETRICAL AND TELECOM  COMPANY SAUDI ARABIA,2
Elite Hospitality Restaurant to Serve Meals Group 2th,2
ELYSEE BAKERY,2
ENERGY DEVELOPMENT TRADING & CONTRACTING CO.LTD. (EDCO),2
ENGAZ ALAHSAFOR CONTRACTING,2
Engine Compression Workshop for Car Maintenance,2
Engineering Al-Masoub buffet for popular food,2
ERSA  ELBENA,2
Estidama Environmental Solutions & Contracting Est,2
Ewan Human Resources closed joint stock company,2
EXECUTIVE EST FOR TRADING SERVICES GROUP,2
FABROTECH(AL ESSA),2
FACE CONTRACTING COMPANY,2
Factory  future Metal Industries,2
Factory Afra Zafr Muflah Al-Dossary for Industry,2
Faisal Aida Ibn Saleh Al Qurashi Foundation for catering services,2
FAISAL ELECTRO MECHANICAL CO LTD,2
FAISAL ELECTRO MECHANICAL CO. LTD.,2
FAISAL FAHAD HUSSAIN AL KARI TRANSPORTATION CO.LTD Group 41,2
Faisal Fahd Hussein Al-Kari Transport Company is a one-person,2
Faisal Fahd Hussein Al-Kari Transport Company is a one-person company,2
Falafel principle restaurants to serve meals,2
FASH TECHNICAL CONTRACTING CO.,2
Fash Technical Contracting Company,2
Fast paced contracting est,2
Fatima Daif Allah Al-Suhaimi Foundation,2
FATIMA MOHAMMED BIN HILAL AL FADI GENERAL,2
Favorite fast food sandwich restaurants,2
FAWAZ MUSAAD AL-SHURAIM & BROS CO FOR GENERAL CONTRACTING,2
FAWAZ MUSAAD AL-SHURAIM& BROS CO,2
FAWAZABDULAZIZAL HOKAIR,2
FAYROUZA,2
FAYROUZA RESTAURANT,2
FEMCO-2019,2
FINE DINING COMPANY,2
FIRST FOOD COMPANY,2
FIRST NATIONAL COMPANY FOR HUMAN RESOURCES,2
FIRST REFINERY SOLUTIONS LLC KSA GROUP 50TH,2
FISH RESTAURANT RIYADH,2
Fish Time Foundation wholesale and retail,2
FISH WHOLE,2
Five Moons Company Ltd.,2
FLAME BURGER COMPANY,2
FLANK RESTAURANT ( MAYSOON TAHER AL TAKIYYAH FOUNDATION,2
FLEX SOLUTION SERVICES,2
Follow Me Logistics Company,2
Fore sights world general contracting,2
FOUAD ABDULLA FOUAD GROUP(FAFCO),2
Founder Al-Jury ( Abdullah Amer Al Sarhan Co. Ltd),2
Four plates establishment for serving meals,2
FOURSTAR RESTURANT,2
FOUZ SAAD AL-AFIN AL-ENEZI FOUNDATION TO PROVIDE MEALS,2
Fryeq Ali Al Hyder contracting Company,2
FUJI INTERNATIONAL COMPANY,2
FUN GATE,2
FUTURE AL-JAZEERA,2
Future Metals Factory for Industry,2
FUTURE OF KINGDOM TRADE&CONT.,2
FUTURE OF KINGDOM TRADING&CONTRACTING CO.LTD.,2
FUTURISTIL CARWASH,2
GAZAL TRAILOR,2
GEANT SAUDI LTD,2
GELATO DIVINO ICE CREAM,2
GHADDER AHMAD DAKHIL,2
Ghazal Beverage Serving Establishment,2
Ghazal Corporation for the provision of beverages,2
Ghulam Shabbir Sirajuddin Company( GSSC),2
GOAN TRANSPORT EST SUPPORT SERVICES ON THE ROAD,2
GOLD FOOD  RESTAURANT,2
GRAY FALCON 2019,2
GRAY FALCON TRADING&CONTRACTING CO,2
GREEN EXPREE,2
GRILL CHICKEN,2
Guan Al Shamal Contracting Company is a one person company,2
GULF ACCURECY,2
GULF ADDRESS TRADING & CONTRACTING CO.LTD,2
GULF BROCKERS TRADING & CONTACTING EST.,2
Gulf Broker Trading &contracting,2
GULF CARTON FACTORY,2
GULF CO-OPERATION SYMBOLS CONT.CO.LTD,2
GULF CREATIVE CONCEPT,2
GULF DIAMOND,2
GULF DIMENSIONS TRANSPORTATION EST,2
GULF GALVINIZING INDUSTRIES CO.W.L.L,2
GULF GUIDED CO.LTD GROUP 50TH,2
GULF HOUSE RECRUITMENT COMPANY GROUP 20TH,2
GULF TENT FACTORY',2
Gulf Vision For operation & Maintenance,2
H&A M.AL MARZOUK AL SINAN CO.,2
H.Fallathah trading,2
Habib Trading Company,2
HADI HAMAD AL-HAMMAM CONTRACTING COMPANY,2
HAFIS CHICKEN,2
HAIDER SALEH AL-HAIDER &PARTNERS CO.(HSH & PARTNERS,2
HAIDER SALEH HAIDER,2
HAIF & KAIF CAFÉ-EST JEDDAH KINGDOM OF SAUDI ARABIA,2
HAIF AND KAIF  CAFE,2
Half a point restaurant for serving meals,2
Hamdan Engineering & Construction Saudi Company,2
HAMDAN ENGINEERING & CONSTRUCTION SAUDI CONTRACTING COMPANY GROUP 9TH,2
Hammoud Mohammed Mayah Subai Al Anzi General Contracting Est,2
HAMOUD AL-SAMAH EST GENERAL CONTRACTING,2
HAMTE COMPANY,2
Hanan Ali Mohammed Asiri Transportation Est,2
HANIM RESTAURANT,2
HAPTA,2
Harmony Flavors Contracting Company,2
HASHIM FALLATHAH GEN CONT.,2
Hassan Bin Baqer Al Hussein Contracting Est,2
Hassan Hadi Abdullah Asiri Café to serve drinks,2
Hassan Saad Al Wadaeen General Contracting Company,2
Hassan Saad Al-Wadaeen General Contracting Establishment,2
HATEM A.F AL-ZAHARANI MAINT.& CLEANING EST.GROUP,2
HAWL AL-MADENA BAKERY GROUP 10TH,2
Hayat Al Mumayzaat Catering Services Company is a one person company,2
HEADING HORIZON,2
HERFY FOOD SERVICES CO LTD.,2
High altitude co.,2
HIGH ALTITUDE FOR TRANSPORTATION EST.,2
HIGH ALTITUDE ORGINAL DOCUMENT,2
High Dam General Contracting Company,2
HMB FACTORY FOR METAL PRODUCTS,2
HORIZON DESIGN AND CONTRACTING,2
horizon designing,2
